Header,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_longum_NCC2705,Bifidobacterium_longum_NCC2705,Collinsella_tanakaei_YIT_12063,Collinsella_tanakaei_YIT_12063,Alistipes_finegoldii_DSM_17242,Alistipes_finegoldii_DSM_17242,Alistipes_putredinis_DSM_17216,Alistipes_putredinis_DSM_17216,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_eggerthii_DSM_20697,Bacteroides_eggerthii_DSM_20697,Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_stercoris_ATCC_43183,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_uniformis_ATCC_8492,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Prevotella_ruminicola_23,Acidaminococcus_fermentans_DSM_20731,Acidaminococcus_fermentans_DSM_20731,Blautia_wexlerae_DSM_19850,Blautia_wexlerae_DSM_19850,Clostridium_clostridioforme_CM201,Clostridium_clostridioforme_CM201,Coprococcus_catus_GD_7,Coprococcus_catus_GD_7,Dialister_invisus_DSM_15470,Dialister_invisus_DSM_15470,Dorea_longicatena_DSM_13814,Dorea_longicatena_DSM_13814,Enterococcus_faecium_TX1330,Enterococcus_faecium_TX1330,Eubacterium_rectale_M104_1,Eubacterium_rectale_M104_1,Faecalibacterium_prausnitzii_L2_6,Faecalibacterium_prausnitzii_L2_6,Lactobacillus_mucosae_LM1,Lactobacillus_mucosae_LM1,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_reuteri_SD2112_ATCC_55730,Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_DSM_20460,Phascolarctobacterium_succinatutens_YIT_12067,Phascolarctobacterium_succinatutens_YIT_12067,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Roseburia_intestinalis_L1_82,Roseburia_intestinalis_L1_82,Roseburia_inulinivorans_DSM_16841,Roseburia_inulinivorans_DSM_16841,Ruminococcus_bromii_L2_63,Ruminococcus_bromii_L2_63,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756,Streptococcus_salivarius_JIM8777,Streptococcus_salivarius_JIM8777,Subdoligranulum_variabile_DSM_15176,Subdoligranulum_variabile_DSM_15176,Veillonella_atypica_ACS_049_V_Sch6,Veillonella_atypica_ACS_049_V_Sch6,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6,Citrobacter_amalonaticus_Y19,Citrobacter_amalonaticus_Y19,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_piger_ATCC_29098,Enterobacter_cloacae_EcWSU1,Enterobacter_cloacae_EcWSU1,Escherichia_coli_str_K_12_substr_MG1655,Escherichia_coli_str_K_12_substr_MG1655,Haemophilus_parainfluenzae_T3T1,Haemophilus_parainfluenzae_T3T1,Helicobacter_pylori_26695,Helicobacter_pylori_26695,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578,Shigella_flexneri_2002017,Shigella_flexneri_2002017,Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia_muciniphila_ATCC_BAA_835,Fusobacterium_varium_ATCC_27725,Fusobacterium_varium_ATCC_27725
647,EAR13M14,3,METAT,3,PMEVKc,3,ALATA_L,3,DHORDnad,3,STCOATA,3,EAR13M14,3,MG2abc,3,GLYGLN1c,3,SHCHCS3,3,THYMDtex,3,UPP3MT3,3,PAPA180,3,DPMVDc,3,MECDPDH2,3,ACtex,3,MG2abc,3,DHORDnad,3,GLYASNtex,3,SEPHCHS,3,ALCD19,3,ALAHISabcpp,3,PTRCt2pp,3,TTDCAt2pp,3,FRD7,3,12DGR180ti,3,MEPCT,3,TMDK1,3,UPP3MT3,3,POR4,3,HMGCOAS,3,CBMK,3,THYMDtex,3,ALATA_L,3,C180SN,2,PYDXtrpp,3,FAS140ACPrev,3,RIBFLVt2rpp,3,UGLT,3,EAR12M14,3,ALAHISabcpp,3,POR4,3,GLC_Dtex,3,DPMVDc,3,FRUK,3,FBA3,3,METALAabcpp,3,CYSS,3,ARGDC,3,GK1,3,PTRCORNt7pp,3,GLC_Dtex,3
648,NH4tbpp,3,AKP1,3,FAS140ACPrev,3,UGLT,3,PPCr,3,DXPS,3,NNAM,3,ALAHISabc,3,12DGR180ti,3,UPP3MT3,3,GK1,3,MG2abc,3,ORNTAC,3,GLYGLNabc,3,SPMDabc,3,NH4tex,3,ORNTAC,3,SERt2r,3,DXPS,3,PAPA180,3,ASN_Ltex,3,PPCDC,3,12DGR180ti,3,DPMVDc,3,PTPAT,3,SERATi,3,FBA3,3,EAR13M14,3,GLYLEUHYDROc,3,DHORDnad,3,EAR12M14,3,FRD7,3,CGLYabcpp,3,CBMK,3,GLYTYRtex,2,PTRCt2pp,3,ORNTAC,3,PYDXtrpp,3,GLYGLNabc,3,EAR13M14,3,MG2abc,3,GLYCtpp,3,ALATA_L,3,EAR12M14,3,FAS140ACPrev,3,DPMVDc,3,ARG_Ltex,3,12DGR180ti,3,FOLtpp,3,PULLe,3,PAPA180,3,HMGCOAS,3
649,PTRCORNt7pp,3,GLYASNabc,3,ASNt2rpp,3,AKP1,3,CBMK,3,MECDPS,3,ORNTAC,3,AKP1,3,GLC_Dtex,3,ICHORS,3,SERt2r,3,THZPSN,3,PULLe,3,FAS140ACPrev,3,MEPCT,3,ALAHISabc,3,NH4tex,3,AHSERL3,3,CYTD,3,SERt2r,3,ASNt2rpp,3,CYSS,3,PTRCORNt7pp,3,VALt2rpp,3,PNTK,3,PYDXNtrpp,3,PULLe,3,AHSERL3,3,NH4tex,3,NH4tbpp,3,EAR13M14,3,DHORDnad,3,PYDXtrpp,3,PYDXtrpp,3,DM_btn,2,PTRCORNt7pp,3,PFK,3,MG2abc,3,ALATA_L,3,AHSERL3,3,ESHCYS2_FPe,3,GLYCtex,3,FAS140ACPrev,3,EAR13M14,3,GLC_Dtex,3,PHEt2r,3,MALTTRabcpp,3,P1CM,3,ILEt2rpp,3,PFK,3,GLYASNtex,3,AKP1,3
650,GLYLEUHYDROc,3,PAPA180,3,CBMK,3,12DGR180ti,3,ORNTAC,3,UGLT,3,TTDCAt2pp,3,UAGDP,3,DPMVDc,3,FRUK,3,TTDCAt2pp,3,TYRt2r,3,23DHMPO,3,GLYCtpp,3,METS,3,AHSERL3,3,AMPMS2,3,ALAD_R,3,GLYASNabcpp,3,EAR11M12,3,SERt2r,3,MG2abc,3,GLYLEUHYDROc,3,FRUK,3,PPCDC,3,CDPMEK,3,ARG_Ltex,3,PRPPS,3,CBMK,3,ACtex,3,UAGDP,3,FOLtpp,3,MG2abc,3,KDOS,3,DM_dad_5,2,CDPMEK,3,MG2abc,3,PTRCt2pp,3,CDPMEK,3,12DGR180ti,3,ORNTAC,3,PGAMT,3,DHORDnad,3,ALATA_L,3,ALCD19,3,CBMK,3,ORNTAC,3,DXPS,3,PIt6bpp,3,FAS140ACPrev,3,P1CM,3,GLYASNabc,3
651,GLCNACASE_OGLYCAN2epp,2,PYDXNtex,3,DM_GCALD,3,FRD7,3,ORNtex,3,MEPCT,3,FRUK,3,PULLe,3,ORNTAC,3,SPMS,3,TYRt2r,3,DHORDnad,3,PYDXtrpp,3,12DGR180ti,3,DM_GCALD,3,NH4tbpp,3,GLC_Dtex,3,P1CM,3,GLYTYRabc,3,ICHORS,3,FRD7,3,ASN_Ltex,3,ORNTAC,3,CO2tpp,3,ARGDC,2,STCOATA,3,AHSERL3,3,FRD7,3,POR4,3,NH4tex,3,PPCr,3,KDOS,3,ESHCYS2_FPe,3,DM_btn,2,GACPCD,2,FAS140ACPrev,3,PTRCORNt7pp,3,ASN_Ltex,3,DPMVDc,3,AMPMS2,3,NH4tex,3,PMEVKc,3,GLYGLNabc,3,SERt2r,3,ORNTAC,3,12DGR180ti,3,GLYLEUHYDROc,3,STCOATA,3,POR4,3,FBA3,3,PHEt2r,3,NH4tbpp,3
652,H2Stex,2,DPMVDc,3,PYDXtrpp,3,ADK1,3,12DGR180ti,3,ALATA_L,3,THYMDtex,3,PFK,3,TTDCAt2pp,3,EAR13M14,3,GLYASNtex,3,DHORDfum,3,TTDCAt2pp,3,DHORDnad,3,DM_btn,2,ALATA_L,3,CDPMEK,3,CBMK,3,ALAR,3,IPDPS2,3,EAR11M12,3,ASNt2rpp,3,PPCr,3,CO2tex,3,CDPMEK,2,PYDXNtex,3,CBMK,3,MECDPDH2,3,TMDPK,3,PTRCORNt7pp,3,GLYGLNabc,3,DM_GCALD,3,AMPMS2,3,DM_dad_5,2,EACPR1,2,NH4tbpp,3,PYDXtrpp,3,ASNt2rpp,3,NH4tbpp,3,TTDCAt2pp,3,IPDPS2,3,EAR11M12,3,UGLT,3,GK1,3,METS,3,PYDXNtrpp,3,FRUK,3,ORNTA,2,STCOATA,3,CGLYt3_2_pp,3,GLYASNabcpp,3,FAS140ACPrev,3
653,THMDt2r,2,LYSt2r,3,PTRCORNt7pp,3,CBMK,3,GLC_Dtex,3,DPMVDc,3,CDPMEK,3,CGLYabcpp,3,METt2rpp,3,GLYASNabcpp,3,GLYASNabcpp,3,NH4tex,3,PTRCt2pp,3,ALAD_R,3,sink_s,2,PTRCORNt7pp,3,FAS140ACPrev,3,UGLT,3,GTHRDt2,3,GLYLEUHYDROc,3,EAR12M14,3,STCOATA,3,MG2abc,3,ARG_Ltex,3,MEOHt2pp,2,TTDCAt2pp,3,FOLtpp,3,STYSabcpp,3,P1CM,3,ALAD_R,3,ADK1,3,12DGR180ti,3,SHCHCS3,3,EACPR1,2,GAMtex,2,ORNTAC,3,PNTK,3,ESHCYS2_FPe,3,DM_GCALD,3,POR4,3,ALAHIStex,3,FRD7,3,CBMK,3,DM_GCALD,3,DPMVDc,3,ORNTAC,3,NNDPR,3,FUM,2,VALt2rpp,3,ESHCYS2_FPe,3,CYSS,3,GLYGLNabc,3
654,DAPMDH,2,SERt2r,3,NH4tex,3,DM_GCALD,3,FRD7,3,ALCD19,3,PHEt2r,3,ARG_Ltex,3,ADK1,3,GLYASNtex,3,ORNTAC,3,ESHCYS2_FPe,3,PTRCORNt7pp,3,POR4,3,NMNAT,2,PTRCt2pp,3,GK1,3,AOXSr2,2,GLYGLNabc,3,TYRt2r,3,EAR13M14,3,METALAabcpp,3,NH4tex,3,12DGR180ti,3,STYStex,2,PYDXtrpp,3,PYDXtrpp,3,STYStex,3,FERO,2,PTRCt2pp,3,PTRCt2pp,3,ALATA_L,3,12DGR180ti,3,ADPT,2,Q8abc,2,CYSS,3,GLYGLNabc,3,PTRCORNt7pp,3,PTRCt2pp,3,THYMDtex,3,EAR11M12,3,FOLtpp,3,ADK1,3,ADK1,3,ACtrpp,3,GLYCtex,3,GLC_Dtex,3,MALCOAMT,2,ALAHISabc,3,NNAM,3,PULLe,3,PTRCORNt7pp,3
655,EACPR1,2,PYDXtrpp,3,POR4,3,GK1,3,THYMDtex,3,METALAtex,3,12DGR180ti,3,FBA3,3,THYMDtex,3,ASN_Ltex,3,NH4tbpp,3,PYDXtrpp,3,CYSS,3,GLC_Dtex,3,AOXSr2,2,DPMVDc,3,PMEVKc,3,PAPA180,2,HYXNt,3,EAR13M14,3,METS,3,DPMVDc,3,TTDCAt2pp,3,ALAHISabc,3,FORt,2,AMPMS2,3,FAS140ACPrev,3,GLYLEUHYDROc,3,HEX7,2,PYDXtrpp,3,THYMDtex,3,AKP1,3,HIS_Ltex,2,NACabcpp,2,CYSt2rpp,2,NH4tex,3,DPMVDc,3,DM_kdo2lipid4L(c),3,PTRCORNt7pp,3,GLYLEUHYDROc,3,PNP,3,AKP1,3,GK1,3,DHORDnad,3,PAPA180,3,ACtrpp,3,ALAHISabcpp,3,AMYLOPECT900tex,2,GF6PTA,3,HMGCOAS,3,PFK,3,GLYASNabcpp,3
656,EACPR2,2,GK1,3,NH4tbpp,3,GLYLEUHYDROc,3,THZPSN,3,MK8t,3,P1CM,3,IPDPS2,3,AKP1,3,3HACPR2,2,FAS140ACPrev,3,DM_GCALD,3,UPP3MT3,3,THYMDtex,3,PNP,2,PAPA180,3,P1CM,3,4HBZt2pp,2,DHNAOT4,3,12DGR180ti,3,MEPCT,3,NH4tex,3,THYMDtex,3,MALTTRabcpp,3,CYSt2r,2,ALCD19,3,ALCD19,3,CDPMEK,3,GLYTYRtex,2,12DGR180ti,3,12DGR180ti,3,DPMVDc,3,ARABDt2pp,2,TRSARr,2,DAPabcpp,2,EAR12M14,3,NH4tbpp,3,EACPR1,2,ADK1,3,MECDPS,3,CYSTGL,3,ACtex,3,GLYASNabc,3,UGLT,3,SERt2r,3,PYDXNtex,3,ALAHIStex,3,AOXSr2,2,LYSt2r,3,STCOATA,3,ALCD19,3,CBMK,3
657,GACPCD,2,PTRCt2pp,3,12DGR180ti,3,TTDCAt2pp,3,LYSt2r,3,GLYGLNabc,3,PULLe,3,3OAACPR1,2,DM_GCALD,3,ARGt2pp,2,PRO_Ltex,3,CYSS3r,2,THZPSN,3,KDOS,3,NMNP,2,PYDXtrpp,3,ASNt2rpp,3,BTS4,2,PRPPS,2,EAR12M14,3,CBMK,3,DHORDfum,3,ESHCYS2_FPe,3,PPCDC,3,sink_s,2,PTRCORNt7pp,3,ASNt2rpp,3,CBMK,3,FUM,2,MQN8tex,3,PYDXtrpp,3,PTRCt2pp,3,PPItex,2,DBTS,2,EACPR2,2,GLYLEUHYDROc,3,NH4tex,3,3OAACPR1,2,AKP1,3,ARGDC,3,NP1_r,3,ACtrpp,3,12DGR180ti,3,ALCD19,3,ALAD_R,3,PMEVKc,3,FAS140ACPrev,3,4HBZCL,2,PPCr,3,AHSERL3,3,FBA3,3,DM_GCALD,3
658,DHORDfum,2,POR4,3,AKP1,3,ESHCYS2_FPe,3,MG2abc,3,FRUK,3,PFK,3,HMPK1,2,PMEVKc,3,ARABDt2pp,2,PTRCORNt7pp,3,DM_btn,2,GGTA,3,PNTOt4pp,3,HYXNt,2,METt2rpp,3,EAR12M14,3,MALT,2,ACGAMtr2pp,2,STYSabcpp,3,MECDPDH2,3,EAR11M12,3,GK1,3,THYMDtex,3,MALCOAMT,2,MECDPDH2,3,ILEt2rpp,3,MECDPS,3,SUCptspp,2,EAR12M14,3,GK1,3,STCOATA,3,AMAOTr,2,EACPR2,2,DHORDfum,2,UPP3MT3,3,ALATA_L,3,sink_s,2,SERATi,3,DPMVDc,3,PPCDC,3,NH4tbpp,3,PMEVKc,3,DHORDfum,3,SUCBZS,3,PYDXNK,3,QULNS,3,CYSt2r,2,ASN_Ltex,3,ALATA_L,3,CDPMEK,3,GLYASNtex,3
659,GAMtex,2,GLYGLNabc,3,STCOATA,3,PPCr,3,TMDK2,2,HMGCOAS,3,FBA3,3,HSPGtex,2,GLYASNabcpp,3,ARGDC,2,UPP3MT3,3,GLCNACASE_OGLYCAN2epp,2,MG2abc,3,ILEt2rpp,3,CYSt2rpp,2,GK1,3,PPCr,3,4HBZCL,2,SER_Ltex,2,ILEt2rpp,3,ADK1,3,EAR12M14,3,GLC_Dtex,3,ALAHISabcpp,3,CYS_Ltex,2,PTRCt2pp,3,ASN_Ltex,3,MALCOAMT,2,ASP4DC,2,EAR13M14,3,PTRCORNt7pp,3,FTHFL,3,GTHRD,2,GACPCD,2,GLYt2r,2,P1CM,3,SERt2r,3,AOXSr2,2,AMPMS2,3,NH4tbpp,3,PFK,3,NH4tex,3,GLYASNtex,3,EAR11M12,3,AHSERL3,3,SERt2r,3,METALAtex,3,SERt2r,2,ASNt2rpp,3,UPP3MT3,3,THYMDtex,3,TTDCAt2pp,3
660,NPHS,2,PTRCORNt7pp,3,ARGDC,3,NH4tex,3,FERO,2,KDOS,3,UPP3MT3,3,AMAOTr,2,GLYASNtex,3,3HACPR1,2,LYSt2r,3,DM_dad_5,2,SUCBZS,3,ORNTAC,3,CYS_Ltex,2,GLYLEUHYDROc,3,EAR11M12,3,FBA2,2,BTS4,2,TTDCAt2pp,3,ICHORS,3,PNTK,3,AKP1,3,G1PACT,3,TYR_Ltex,2,DM_GCALD,3,GK1,3,3HACPR2,2,NMNAT,2,TTDCAt2pp,3,LYSt2r,3,DM_btn,2,ARAB_Dtex,2,GTHOXtex,2,METabc,2,DM_GCALD,3,PTRCt2pp,3,AMAOTr,2,NH4tex,3,MECDPDH2,3,PPCr,3,PTRCORNt7pp,3,HMGCOAS,3,GLYGLNabc,3,UPP3MT3,3,GLYCtpp,3,DM_GCALD,3,FERO,2,ACtex,3,CO2tex,3,CBMK,3,PTRCt2pp,3
661,CYSS3r,2,L_AROND,3,ACtex,3,PTRCORNt7pp,3,HSPGtex,2,MEVK1c,3,MEPCT,3,AOXSr2,2,LYSt2r,3,ARAB_Dtex,2,AKP1,3,HEX7,2,DM_GCALD,3,GNCORE2tex,2,FUM,2,VALt2rpp,3,UPP3MT3,3,ASPO6,2,TYRL,2,STYStex,3,NH4tbpp,3,SERt2r,3,NH4tbpp,3,PNTK,3,MALCOACD,2,ORNTAC,3,EAR13M14,3,GTHOXti3pp,2,GTHOXtex,2,EAR11M12,3,CBMK,3,CYTDt2r,2,3OAACPR2,2,GAMtex,2,TYRL,2,PPCr,3,MALTTRabcpp,3,AMYLOPECT900tex,2,DHORDnad,3,ARG_Ltex,3,NICRNS,3,ALAD_R,3,FRD7,3,TYRt2r,3,CBMK,3,Q8abc,2,NNAM,3,HEX1,2,EAR12M14,3,UGLT,3,PTRCt2pp,3,PYDXtrpp,3
662,H2Stpp,2,GTHOXti3pp,2,ALAD_R,3,PTRCt2pp,3,ASN_Ltex,2,DM_5MTR,3,GLYASNtex,3,3OAACPR2,2,PPCr,3,3OAACPR1,2,STYStex,3,ACGAMtr2pp,2,P1CM,3,DTMPK,2,GLYCLTDxr,2,TRPabc,3,TRPabc,3,ORNTA,2,DM_AMOB,2,THYMDtex,3,SEPHCHS,3,ARGDC,3,SPMDabc,3,ORNTAC,3,NMNAT,2,THYMDtex,3,GLC_Dtex,3,GTHOXtex,2,GTHOXti3pp,2,AKP1,3,DM_GCALD,3,3OAACPR1,2,GTHOXtex,2,CPPPGO2,2,DM_AMOB,2,ASN_Ltex,3,AMPMS2,3,AMYLOPECTepp,2,AHSERL3,3,PIt6bpp,3,PNTK,3,12DGR180ti,3,ORNTAC,3,BTS4,2,SUCBZL,3,MEOHt2pp,2,SERt2r,3,G6Pt6_2pp,2,FAS140ACPrev,3,CO2tpp,3,UPP3MT3,3,VAL_Ltex,3
663,CYSt2rpp,2,MALCOAMT,2,CYSTGL,3,PMEVKc,3,ASNt2rpp,2,DAPabcpp,2,PAPA180,3,MEOHt2pp,2,GK1,3,MALCOACD,2,12DGR180ti,3,SER_Ltex,2,2AHBUTI,3,GLCNACASE_OGLYCAN2epp,2,HEX7,2,3OAACPR1,2,ASN_Ltex,3,2DMMQ8abc,2,THYMDtex,2,MALT,2,DXPS,3,THYMDtex,3,GLYASNtex,3,Q8abc,2,ORNTA,2,MECDPS,3,PFK,3,PNP,2,GTHRD,2,GLYLEUHYDROc,3,CPPPGO2,2,3OAACPR2,2,GTHOXti3pp,2,PPItex,2,DBTS,2,PHEt2r,3,AKP1,3,ACKr,2,PYDXtrpp,3,CYSS,3,STYStex,3,PTRCt2pp,3,MLTG3,2,DHNAOT,2,UGLT,3,GTHRD,2,PMEVKc,3,PAPA180,2,EAR11M12,3,PAPA180,3,MECDPDH2,3,GK1,3
664,C180SN,2,MEOHt2pp,2,GLC_Dtex,3,NH4tbpp,3,FUM,2,ARGt2pp,2,GLYASNabcpp,3,CYSt2rpp,2,FORt,2,FFSD,2,ARG_Ltex,3,DAPMDH,2,MALCOACD,2,CYSS3r,2,PMACPME,2,AMAOTr,2,ADK1,3,DBTS,2,DBTS,2,GTHOXti3pp,2,SHCHCS3,3,G6Pt6_2pp,2,EAR11M12,3,UMPK,2,XYL_Dtex,2,MEPCT,3,EAR11M12,3,GTHRD,2,PMACPME,2,HEX1,2,sink_s,2,DM_dad_5,2,BTS4,2,PPIt2epp,2,HISt2rpp,2,ASNt2rpp,3,GACPCD,2,HEPARL1_epp,2,12DGR180ti,3,GLC_Dtex,3,ASN_Ltex,3,EAR12M14,3,ORNTA,2,r0339,2,P1CM,3,MALCOACD,2,UAGDP,3,TYRL,2,12DGR180ti,3,DPMVDc,3,GK1,3,THYMDtex,3
665,AMAOTr,2,HSPGtex,2,THYMDtex,3,MG2abc,3,HMPK1,2,AMYLOPECT900tex,2,LYSt2r,3,BTS4,2,DHNPA,2,NMNAT,2,STYSabcpp,3,GLXCL,2,NMNP,2,EACPR1,2,AMYLOPECT900tex,2,MEOHtex,2,DM_dad_5,2,DM_AMOB,2,GLCNACASE_OGLYCAN2epp,2,ACKr,2,GAMtex,2,THMDt4,2,GLYCL,2,TRSARr,2,STYSabcpp,2,3HACPR1,2,DXPS,3,MALCOACD,2,DM_AMOB,2,PTAr,2,GTHS,2,CPPPGO2,2,GAMtex,2,DM_AMOB,2,ASP4DC,2,PAPA180,3,CYS_Ltex,2,3OAACPR2,2,PAPA180,3,DXPS,3,ASNt2rpp,3,PYDXtrpp,3,CYSt2r,2,AMAOTr,2,ALATA_L,3,2DMMQ8abc,2,NH4tbpp,3,THYMDtex,2,TTDCAt2pp,3,SERt2r,3,MEOHtex,2,FRD7,3
666,L_AROND,2,MEOHtex,2,GLYLEUHYDROc,3,FAS140ACPrev,3,DNMPPA,2,HSPGtex,2,METS,3,MALCOAMT,2,BTS4,2,SUCptspp,2,AMPMS2,3,DBTS,2,MALCOAMT,2,NACabcpp,2,4HBZt2pp,2,EACPR2,2,NMNAT,2,TYRL,2,DM_btn,2,AMYLOPECTepp,2,ARGt2pp,2,G6Ptex,2,EAR9M10,2,r0339,2,DM_btn,2,AMAOTr,2,EAR12M14,3,CYS_Ltex,2,SER_Ltex,2,3OAACPR2,2,ACKr,2,AMAOTr,2,DAPabcpp,2,AOXSr2,2,SUCptspp,2,AHSERL3,3,MALCOAMT,2,HSPGtex,2,P1CM,3,NH4tex,3,STYSabcpp,3,ARGDC,3,HEPARL1_epp,2,CITRH,2,FRD7,3,MALCOAMT,2,GNCORE2tex,2,SER_Ltex,2,ORNTAC,3,G1PACT,3,GLUCYS,2,MG2abc,3
667,FBA3,2,DM_btn,2,ORNTAC,3,3HACPR1,2,ADOCBIK2,2,HISt2rpp,2,GLC_Dtex,3,ARGDC,2,DBTS,2,MALCOAMT,2,C180SN,2,METabc,2,CYSt2rpp,2,EACPR2,2,AMYLOPECTepp,2,GACPCD,2,DM_AMOB,2,DM_btn,2,GCALDD,2,r0339,2,DM_btn,2,GTHRD,2,NMNP,2,SER_Ltex,2,TYRt2rpp,2,ACCOAC,2,NMNP,2,HIS_Ltex,2,DM_btn,2,3OAACPR1,2,ORNTA,2,PPItex,2,DBTS,2,BTS4,2,SUCRtex,2,GLYASNabcpp,3,sink_s,2,CYTDt2r,2,DNTPPA,2,ACtrpp,3,LYSt2r,3,STCOATA,3,ALAR,2,H2Stex,2,G6Pt6_2pp,2,ASP4DC,2,GLCNACASE_OGLYCAN2epp,2,FORt,2,PTAr,2,P1CM,3,MEOHt2pp,2,ACKr,2
668,2DMMQ8abc,2,3OAACPR2,2,AMMQT7rev,2,3OAACPR2,2,ADPT,2,EACPR2,2,CITRH,2,MEOHtex,2,DM_AMOB,2,MEOHt2pp,2,MALT,2,EACPR1,2,GTHS,2,METabc,2,ARGt2pp,2,ARGt2pp,2,DM_btn,2,ICHORS,2,SGAT,2,AMYLOPECT900tex,2,GTHOXtex,2,LYSt2rpp,2,PMACPME,2,THMDt4,2,PPCr,2,ARAB_Dtex,2,PNP,2,NMNP,2,GLUCYS,2,NMNP,2,HMPK1,2,AOXSr2,2,CYSt2rpp,2,EAR9M10,2,FFSD,2,MEOHtex,2,CYSt2rpp,2,FUM,2,THMDt2r,2,FAS140ACPrev,3,DM_GCALD,3,TTDCAt2pp,3,HSPGtex,2,THMDt2r,2,BTS4,2,GTHOXtex,2,XYLANtex,2,PNP,2,AMYLOPECTepp,2,MALCOAMT,2,MALCOAMT,2,HEPARL1_epp,2
669,3HACPR1,2,3OAACPR1,2,GLYPHEabc,2,sink_s,2,HEX1,2,GACPCD,2,ARGt2pp,2,ARAB_Dtex,2,DM_btn,2,MEOHtex,2,AOXSr2,2,EACPR2,2,DAPMDH,2,GACPCD,2,HEPARL1_epp,2,3OAACPR2,2,EACPR1,2,DM_dad_5,2,STCOATA,2,TRSARr,2,DBTS,2,HIS_Ltex,2,HEX1,2,HEX7,2,MECDPS,2,3OAACPR2,2,SUCptspp,2,DBTS,2,DM_dad_5,2,HEPARL1_epp,2,AMYLOPECT900tex,2,PPIt2epp,2,GACPCD,2,GCALDD,2,HIS_Ltex,2,MEOHt2pp,2,DM_btn,2,PNP,2,HEX7,2,3OAACPR2,2,4HBZCL,2,DM_GCALD,3,THMDt2rpp,2,METabc,2,DBTS,2,HIS_Ltex,2,SER_Ltex,2,NMNP,2,HEPARL1_epp,2,DM_dad_5,2,r0339,2,AMYLOPECTepp,2
670,3HACPR2,2,DM_AMOB,2,DHNPA,2,3OAACPR1,2,XYLAN_DEGepp,2,GAMtex,2,TRSARr,2,ARGt2pp,2,DM_dad_5,2,PNP,2,CYS_Ltex,2,GACPCD,2,GLUCYS,2,PHE_Ltex,2,FERO,2,ARAB_Dtex,2,DBTS,2,HISt2rpp,2,GLYCLTDxr,2,THMDt2r,2,ARAB_Dtex,2,GLUCYS,2,PPNCL3,2,FERO,2,PNP,2,ARABDt2pp,2,FUM,2,AMAOTr,2,SUCRtex,2,TYRt2rpp,2,AMYLOPECTepp,2,BTS4,2,3OAACPR1,2,GLXCL,2,GTHRD,2,G6Pt6_2pp,2,GAMtex,2,HMPK1,2,THYMDtex,2,DAPabcpp,2,GLUR,2,CYSt2r,2,CYS_Ltex,2,HIS_Ltex,2,4HBZtex,2,HISt2rpp,2,OOR2r,2,TTDCAtrpp,2,HSPGtex,2,4HBZtex,2,PMACPME,2,RNTR4,2
671,GCALDD,2,HEPARL1_epp,2,C180SN,2,AMYLOPECT900tex,2,XYLANtex,2,MALCOACD,2,PNP,2,PMACPME,2,XYL_Dtex,2,DAPabcpp,2,BTS4,2,DM_AMOB,2,PMACPME,2,GAMtex,2,HSPGtex,2,GTHOXti3pp,2,BTS4,2,NMNtex,2,GLXCL,2,sink_s,2,NMNP,2,PPItex,2,PNP,2,NMNP,2,MEPCT,2,GLYTYRtex,2,CYSt2rpp,2,AOXSr2,2,DHNAOT,2,HSPGtex,2,PPNCL3,2,GNCORE2tex,2,DM_AMOB,2,GLYLEUHYDROc,2,GTHS,2,GACPCD,2,MEOHtex,2,GACPCD,2,SUCptspp,2,CYSt2rpp,2,GAMtex,2,GTHS,2,NMNAT,2,GTHOXti3pp,2,MALT,2,NMNPpp,2,CYSS3r,2,ASP4DC,2,GTHS,2,DHNPA,2,PNP,2,PPNCL3,2
